rank,suit,displayName,value,wild,drawQuote,winQuote,loseQuote,role,color,imagePrompt
Ace,Spades,Ace of Spades,11,false,The table just got mean,That ace dragged your ass to the pay window,You wasted the ace like a drunk tourist,High card,Black,Dark Vegas casino ace of spades card with neon poker room style
2,Spades,Two of Spades,2,false,Deuce of spades showed up with cheap cologne,Even this little bastard helped,That two was not the problem champ,Number card,Black,Classic two of spades with smoky Vegas poker room background
3,Spades,Three of Spades,3,false,Three spades and a bad attitude,Three chipped in like rent was due,You lost with help from the bargain bin,Number card,Black,Classic three of spades with casino felt and poker chips
4,Spades,Four of Spades,4,false,Four spades walked in looking guilty,Four did honest dirty work,That hand died in the parking garage,Number card,Black,Classic four of spades with Vegas card table lighting
5,Spades,Five of Spades,5,false,Five spades and questionable decisions,Five helped stack the damn chips,You played that like free buffet seafood,Number card,Black,Classic five of spades on green casino felt
6,Spades,Six of Spades,6,false,Six spades came in smelling like trouble,Six gave the dealer heartburn,That six deserved a better degenerate,Number card,Black,Classic six of spades with poker room smoke and neon
7,Spades,Seven of Spades,7,false,Lucky seven just kicked the door open,Seven made the pit boss nervous,Seven was lucky until you touched it,Number card,Black,Classic seven of spades with Las Vegas neon glow
8,Spades,Eight of Spades,8,false,Eight spades has loan shark energy,Eight put muscle in the hand,You fumbled a solid damn card,Number card,Black,Classic eight of spades with casino chips and cards
9,Spades,Nine of Spades,9,false,Nine spades is one bad choice from glory,Nine made this table shut up,You had nine and still ate pavement,Number card,Black,Classic nine of spades under dramatic casino light
10,Spades,Ten of Spades,10,false,Ten spades hits like a Vegas bar tab,Ten punched the dealer in the math,You lost with a ten because of course you did,Number card,Black,Classic ten of spades with blackjack table background
Jack,Spades,Jack of Spades,10,false,Jack of Spades looks like he owes three bookies,Jack helped rob the table legally,Jack brought swagger and you brought failure,Face card,Black,Classic jack of spades with gritty Vegas poker style
Queen,Spades,Queen of Spades,10,false,Queen of Spades is cold as casino air,The queen cleaned house without sweating,You embarrassed yourself in front of royalty,Face card,Black,Classic queen of spades with elegant dark Vegas style
King,Spades,King of Spades,10,false,King of Spades runs the back room,The king buried the dealer with a smile,The king showed up and you still pissed it away,Face card,Black,Classic king of spades with noir poker room style
Ace,Hearts,Ace of Hearts,11,false,Ace of Hearts came dressed for sin,That ace saved your sorry stack,You broke hearts and your bankroll,High card,Red,Classic ace of hearts with red neon Vegas casino background
2,Hearts,Two of Hearts,2,false,Two hearts is barely foreplay,Two did more than expected,That two tried harder than you,Number card,Red,Classic two of hearts on casino felt with red neon
3,Hearts,Three of Hearts,3,false,Three hearts showed up after last call,Three gave the hand some pulse,You lost like a bachelor party rookie,Number card,Red,Classic three of hearts with Vegas poker table lighting
4,Hearts,Four of Hearts,4,false,Four hearts has cheap motel energy,Four helped keep the hand alive,That hand checked out before sunrise,Number card,Red,Classic four of hearts with smoky casino background
5,Hearts,Five of Hearts,5,false,Five hearts and one bad plan,Five made the dealer sweat a little,You played that like your ex was watching,Number card,Red,Classic five of hearts with poker chips and red felt
6,Hearts,Six of Hearts,6,false,Six hearts is trouble in lipstick,Six kept your pulse alive,You lost with six and zero dignity,Number card,Red,Classic six of hearts with Vegas lounge atmosphere
7,Hearts,Seven of Hearts,7,false,Seven hearts walked in like a cocktail waitress tip,Seven brought luck with cleavage,Seven flirted and you still blew it,Number card,Red,Classic seven of hearts with red casino neon
8,Hearts,Eight of Hearts,8,false,Eight hearts came in hot and messy,Eight gave the hand some serious legs,You turned a good card into a crime scene,Number card,Red,Classic eight of hearts on blackjack table
9,Hearts,Nine of Hearts,9,false,Nine hearts looks like a dangerous weekend,Nine made this hand damn respectable,You crashed a decent hand into the wall,Number card,Red,Classic nine of hearts with Vegas strip glow
10,Hearts,Ten of Hearts,10,false,Ten hearts just ordered another round,Ten carried this hand like a grown adult,You lost with a ten and that is on you,Number card,Red,Classic ten of hearts with casino chips
Jack,Hearts,Jack of Hearts,10,false,Jack of Hearts has fake charm and real debt,Jack sweet talked the table,Jack flirted with victory and you ruined it,Face card,Red,Classic jack of hearts in flashy Vegas poker style
Queen,Hearts,Queen of Hearts,10,false,Queen of Hearts does not pay for drinks,The queen made this look sexy and profitable,You disappointed the queen and everyone saw it,Face card,Red,Classic queen of hearts with glamorous casino lighting
