rank,suit,displayName,value,wild,drawQuote,winQuote,loseQuote,role,color,imagePrompt
A,Hearts,Wrigley Field - Cubs Ace,11,false,Wrigley Field - Cubs Ace steps up to the plate.,Wrigley Field - Cubs Ace delivers! The crowd at Wrigley is on its feet.,"Wrigley Field - Cubs Ace swings hard, but this hand lands in the cheap seats for the wrong reason.",Ace Place,Cubs Blue and Red,"A of Hearts playing card, Wrigley Field - Cubs Ace, Chicago Cubs blue red vintage baseball poster style"
2,Hearts,Seventh Inning Stretch - Cubs 2,2,false,Seventh Inning Stretch - Cubs 2 steps up to the plate.,Seventh Inning Stretch - Cubs 2 delivers! The crowd at Wrigley is on its feet.,"Seventh Inning Stretch - Cubs 2 swings hard, but this hand lands in the cheap seats for the wrong reason.",Theme Card,Cubs Blue and Red,"2 of Hearts playing card, Seventh Inning Stretch - Cubs 2, Chicago Cubs blue red vintage baseball poster style"
3,Hearts,Waveland Avenue - Cubs 3,3,false,Waveland Avenue - Cubs 3 steps up to the plate.,Waveland Avenue - Cubs 3 delivers! The crowd at Wrigley is on its feet.,"Waveland Avenue - Cubs 3 swings hard, but this hand lands in the cheap seats for the wrong reason.",Theme Card,Cubs Blue and Red,"3 of Hearts playing card, Waveland Avenue - Cubs 3, Chicago Cubs blue red vintage baseball poster style"
4,Hearts,Blue Pinstripes - Cubs 4,4,false,Blue Pinstripes - Cubs 4 steps up to the plate.,Blue Pinstripes - Cubs 4 delivers! The crowd at Wrigley is on its feet.,"Blue Pinstripes - Cubs 4 swings hard, but this hand lands in the cheap seats for the wrong reason.",Theme Card,Cubs Blue and Red,"4 of Hearts playing card, Blue Pinstripes - Cubs 4, Chicago Cubs blue red vintage baseball poster style"
5,Hearts,Clark the Cub - Cubs 5,5,false,Clark the Cub - Cubs 5 steps up to the plate.,Clark the Cub - Cubs 5 delivers! The crowd at Wrigley is on its feet.,"Clark the Cub - Cubs 5 swings hard, but this hand lands in the cheap seats for the wrong reason.",Theme Card,Cubs Blue and Red,"5 of Hearts playing card, Clark the Cub - Cubs 5, Chicago Cubs blue red vintage baseball poster style"
6,Hearts,Day Game Sunshine - Cubs 6,6,false,Day Game Sunshine - Cubs 6 steps up to the plate.,Day Game Sunshine - Cubs 6 delivers! The crowd at Wrigley is on its feet.,"Day Game Sunshine - Cubs 6 swings hard, but this hand lands in the cheap seats for the wrong reason.",Theme Card,Cubs Blue and Red,"6 of Hearts playing card, Day Game Sunshine - Cubs 6, Chicago Cubs blue red vintage baseball poster style"
7,Hearts,Friendly Confines - Cubs 7,7,false,Friendly Confines - Cubs 7 steps up to the plate.,Friendly Confines - Cubs 7 delivers! The crowd at Wrigley is on its feet.,"Friendly Confines - Cubs 7 swings hard, but this hand lands in the cheap seats for the wrong reason.",Theme Card,Cubs Blue and Red,"7 of Hearts playing card, Friendly Confines - Cubs 7, Chicago Cubs blue red vintage baseball poster style"
8,Hearts,Deep Dish Debate - Cubs 8,8,false,Deep Dish Debate - Cubs 8 steps up to the plate.,Deep Dish Debate - Cubs 8 delivers! The crowd at Wrigley is on its feet.,"Deep Dish Debate - Cubs 8 swings hard, but this hand lands in the cheap seats for the wrong reason.",Theme Card,Cubs Blue and Red,"8 of Hearts playing card, Deep Dish Debate - Cubs 8, Chicago Cubs blue red vintage baseball poster style"
9,Hearts,Old Scoreboard - Cubs 9,9,false,Old Scoreboard - Cubs 9 steps up to the plate.,Old Scoreboard - Cubs 9 delivers! The crowd at Wrigley is on its feet.,"Old Scoreboard - Cubs 9 swings hard, but this hand lands in the cheap seats for the wrong reason.",Theme Card,Cubs Blue and Red,"9 of Hearts playing card, Old Scoreboard - Cubs 9, Chicago Cubs blue red vintage baseball poster style"
10,Hearts,Holy Cow - Cubs 10,10,false,Holy Cow - Cubs 10 steps up to the plate.,Holy Cow - Cubs 10 delivers! The crowd at Wrigley is on its feet.,"Holy Cow - Cubs 10 swings hard, but this hand lands in the cheap seats for the wrong reason.",Theme Card,Cubs Blue and Red,"10 of Hearts playing card, Holy Cow - Cubs 10, Chicago Cubs blue red vintage baseball poster style"
J,Hearts,Ryne Sandberg - Cubs Jack,10,false,Ryne Sandberg - Cubs Jack steps up to the plate.,Ryne Sandberg - Cubs Jack delivers! The crowd at Wrigley is on its feet.,"Ryne Sandberg - Cubs Jack swings hard, but this hand lands in the cheap seats for the wrong reason.",Jack,Cubs Blue and Red,"J of Hearts playing card, Ryne Sandberg - Cubs Jack, Chicago Cubs blue red vintage baseball poster style"
Q,Hearts,Sammy Sosa - Cubs Queen,10,false,Sammy Sosa - Cubs Queen steps up to the plate.,Sammy Sosa - Cubs Queen delivers! The crowd at Wrigley is on its feet.,"Sammy Sosa - Cubs Queen swings hard, but this hand lands in the cheap seats for the wrong reason.",Queen,Cubs Blue and Red,"Q of Hearts playing card, Sammy Sosa - Cubs Queen, Chicago Cubs blue red vintage baseball poster style"
K,Hearts,Mark Grace - Cubs King,10,false,Mark Grace - Cubs King steps up to the plate.,Mark Grace - Cubs King delivers! The crowd at Wrigley is on its feet.,"Mark Grace - Cubs King swings hard, but this hand lands in the cheap seats for the wrong reason.",King,Cubs Blue and Red,"K of Hearts playing card, Mark Grace - Cubs King, Chicago Cubs blue red vintage baseball poster style"
A,Diamonds,Ivy Wall - Cubs Ace,11,false,Ivy Wall - Cubs Ace steps up to the plate.,Ivy Wall - Cubs Ace delivers! The crowd at Wrigley is on its feet.,"Ivy Wall - Cubs Ace swings hard, but this hand lands in the cheap seats for the wrong reason.",Ace Place,Cubs Blue and Red,"A of Diamonds playing card, Ivy Wall - Cubs Ace, Chicago Cubs blue red vintage baseball poster style"
2,Diamonds,Seventh Inning Stretch - Cubs 2,2,false,Seventh Inning Stretch - Cubs 2 steps up to the plate.,Seventh Inning Stretch - Cubs 2 delivers! The crowd at Wrigley is on its feet.,"Seventh Inning Stretch - Cubs 2 swings hard, but this hand lands in the cheap seats for the wrong reason.",Theme Card,Cubs Blue and Red,"2 of Diamonds playing card, Seventh Inning Stretch - Cubs 2, Chicago Cubs blue red vintage baseball poster style"
3,Diamonds,Waveland Avenue - Cubs 3,3,false,Waveland Avenue - Cubs 3 steps up to the plate.,Waveland Avenue - Cubs 3 delivers! The crowd at Wrigley is on its feet.,"Waveland Avenue - Cubs 3 swings hard, but this hand lands in the cheap seats for the wrong reason.",Theme Card,Cubs Blue and Red,"3 of Diamonds playing card, Waveland Avenue - Cubs 3, Chicago Cubs blue red vintage baseball poster style"
